name,rating,ratingCount,priceRanges,category,address,postcode,openingHours,phone,web,serviceInfo
Algarve's Grill,4.7,1532,£20–30,Portuguese restaurant,"48 Osborne Rd, Southsea, Portsmouth, Southsea PO5 3LT",PO5 3LT,"{""Sunday"":""12 - 8pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9307 6062,algarvesgrill.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Dine-in, Delivery"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Paid street parking""}"
Sant Yago,4.7,781,£20–40,Tapas bar,"Sant Yago, 12 Clarendon Rd, Portsmouth, Southsea PO5 2EE",PO5 2EE,"{""Sunday"":""12 - 9pm"",""Monday"":""5 - 9pm"",""Tuesday"":""5 - 9:30pm"",""Wednesday"":""5 - 10pm"",""Thursday"":""5 - 10pm"",""Friday"":""3 - 11pm"",""Saturday"":""12 - 11pm""}",023 9217 9636,santyago.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Food, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic, Upmarket"",""Crowd"":""Groups"",""Planning"":""Reservations required, Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""High chairs""}"
The Florence Arms Gastro Pub & Restaurant,4.5,785,£20–30,Gastropub,"18-20 Florence Rd, Southsea, Portsmouth, Southsea PO5 2NE",PO5 2NE,,023 9200 7888,theflorencearmssouthsea.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Dine-in, Delivery, Takeaway"",""Highlights"":""Sport"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Food, Food at bar, Free water refills, Happy-hour drinks, Healthy options, Late-night food, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking"",""Pets"":""Dogs allowed, Dogs allowed inside, Dogs allowed outside""}"
MAYFAIR CHINESE RESTAURANT,4.4,219,£20–30,Chinese restaurant,"Isambard Brunel Rd, Round corner Portsmouth PO1 2DB",PO1 2DB,"{""Sunday"":""12 - 9pm"",""Monday"":""12 - 9pm"",""Tuesday"":""Closed"",""Wednesday"":""12 - 9pm"",""Thursday"":""12 - 9pm"",""Friday"":""12 - 9pm"",""Saturday"":""12 - 9pm""}",023 9229 7777,,"{""Accessibility"":""Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Catering, Counter service, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards""}"
Fuegos Street,4.8,1020,£10–20,Tex-Mex restaurant,"93 Elm Grove, Southsea, Portsmouth, Southsea PO5 1JF",PO5 1JF,"{""Sunday"":""12 - 10pm"",""Monday"":""4 - 10pm"",""Tuesday"":""4 - 10pm"",""Wednesday"":""4 - 10pm"",""Thursday"":""4 - 10pm"",""Friday"":""4 - 10:30pm"",""Saturday"":""12 - 10:30pm""}",023 9279 3859,fuegos-street.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Assistive hearing loop, Wheelchair-accessible car park"",""Service options"":""Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Coffee, Halal food, Healthy options, Late-night food, Organic dishes, Small plates, Vegan options, Vegetarian options"",""Dining options"":""Brunch, Lunch, Dinner, Counter service, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking"",""Pets"":""Dogs allowed outside""}"
7Bone Burger Co. Portsmouth,4.4,1592,£10–20,Hamburger restaurant,"16 Guildhall Walk, Portsmouth PO1 2DD",PO1 2DD,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10:30pm"",""Saturday"":""12 - 10:30pm""}",07708 159877,7bone.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Halal food, Late-night food, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Paid street parking""}"
The Dolphin Pub & Kitchen,4.3,1241,£10–20,Pub,"41 High St, Old Portsmouth, Portsmouth PO1 2LU",PO1 2LU,,023 9282 0762,thedolphinpubandkitchen.com,"{""Accessibility"":""Assistive hearing loop, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Great cocktails, Live performances"",""Offerings"":""Alcohol, Beer, Cocktails, Food, Food at bar, Free water refills, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments"",""Parking"":""Paid street parking"",""Pets"":""Dogs allowed""}"
Nicholsons,4.6,775,£20–30,Restaurant,"245 Albert Rd, Southsea, Portsmouth, Southsea PO4 0JR",PO4 0JR,"{""Sunday"":""12 - 11pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9281 5222,nicholsonsrestaurant.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Dine-in, Delivery"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Organic dishes, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Free parking lot""}"
Restaurant 1865,4.5,53,,Restaurant,"Osborne Rd, Clarence Parade, Southsea, Portsmouth, Southsea PO5 3LJ",PO5 3LJ,,023 9282 2466,restaurant1865.com,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Dine-in, Delivery, Takeaway"",""Highlights"":""Great cocktails, Live music"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Spirits, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards"",""Children"":""Good for kids, Has changing table(s), High chairs, Kids' menu"",""Parking"":""Free parking lot, Plenty of parking"",""Pets"":""Dogs allowed outside""}"
Becketts Southsea,4.5,579,,,"10-11 Bellevue Terrace, Southsea, Portsmouth, Southsea PO5 3AT",PO5 3AT,,023 9286 5000,beckettssouthsea.co.uk,{}
Banana Tree Portsmouth,4.6,768,£20–40,Restaurant,"Unit R24 & 94, The Canalside, Portsmouth PO1 3FA",PO1 3FA,"{""Sunday"":""11am - 10 pm"",""Monday"":""11am - 10 pm"",""Tuesday"":""11am - 10 pm"",""Wednesday"":""11am - 10 pm"",""Thursday"":""11am - 10 pm"",""Friday"":""11am - 11 pm"",""Saturday"":""11am - 11 pm""}",023 9200 1343,bananatree.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Highlights"":""Great cocktails"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards"",""Children"":""Kids' menu"",""Parking"":""Paid parking lot, Paid street parking, Plenty of parking""}"
Banana Tree Portsmouth,4.6,768,£20–40,Restaurant,"Unit R24 & 94, The Canalside, Portsmouth PO1 3FA",PO1 3FA,"{""Sunday"":""11am - 10 pm"",""Monday"":""11am - 10 pm"",""Tuesday"":""11am - 10 pm"",""Wednesday"":""11am - 10 pm"",""Thursday"":""11am - 10 pm"",""Friday"":""11am - 11 pm"",""Saturday"":""11am - 11 pm""}",023 9200 1343,bananatree.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Highlights"":""Great cocktails"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards"",""Children"":""Kids' menu"",""Parking"":""Paid parking lot, Paid street parking, Plenty of parking""}"
Casa Brasil Portsmouth,4.4,2754,£20–40,Brazilian restaurant,"44-45 The Boardwalk, Portsmouth PO6 4TP",PO6 4TP,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10pm"",""Saturday"":""12 - 10pm""}",023 9221 4444,casabrasilrestaurants.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, All you can eat, Beer, Cocktails, Coffee, Happy-hour drinks, Late-night food, Spirits, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Free parking lot, Plenty of parking""}"
Sakura Portsmouth Japanese Restaurant,4.6,1475,£20–30,Japanese restaurant,"9 Albert Rd, Southsea, Portsmouth, Southsea PO5 2SE",PO5 2SE,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 2pm"",""Tuesday"":""12 - 2pm"",""Wednesday"":""12 - 2pm"",""Thursday"":""12 - 2pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9275 6277,sakura-portsmouth.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible seating"",""Service options"":""Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Coffee, Free water refills, Healthy options, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Free of charge street parking, Paid street parking""}"
Giuseppe's,4.6,427,£20–40,Italian restaurant,"1 Kent Rd, Southsea, Portsmouth, Southsea PO5 3EG",PO5 3EG,"{""Sunday"":""12 - 4pm"",""Monday"":""5 - 10pm"",""Tuesday"":""5 - 10pm"",""Wednesday"":""5 - 10pm"",""Thursday"":""5 - 10pm"",""Friday"":""12 - 10pm"",""Saturday"":""12 - 10pm""}",023 9282 6879,giuseppe-southsea.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid street parking""}"
Bodrum Restaurant,4.6,581,£20–30,Turkish restaurant,"165-167 Albert Rd, Southsea, Portsmouth, Southsea PO4 0JW",PO4 0JW,"{""Sunday"":""12 - 10pm"",""Monday"":""Closed"",""Tuesday"":""5 - 11pm"",""Wednesday"":""5 - 11pm"",""Thursday"":""5 - 11pm"",""Friday"":""5 - 11pm"",""Saturday"":""12 - 11pm""}",023 9282 9707,,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Coffee, Halal food, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs""}"
Boathouse 7,4.1,513,£10–20,Family restaurant,"10 Storehouse, Main Rd, Portsmouth PO1 3PX",PO1 3PX,"{""Sunday"":""10am - 4:30 pm"",""Monday"":""10am - 4:30 pm"",""Tuesday"":""10am - 4:30 pm"",""Wednesday"":""10am - 4:30 pm"",""Thursday"":""10am - 4:30 pm"",""Friday"":""10am - 4:30 pm"",""Saturday"":""10am - 4:30 pm""}",023 9273 1552,dockyardevents.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, On-site services, Dine-in, Delivery"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Coffee, Small plates, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Payments"":""Credit cards, NFC mobile payments"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid street parking""}"
